City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Salalah,OM,73.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,San Francisco De Becerra,HN,67.64,few clouds,14.6333,-86.1,Finca ¨La Victoria¨
143,Porto Santo,PT,62.98,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
148,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hotel San Juan
149,Sao Miguel Do Araguaia,BR,71.1,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
152,Atar,MR,64.02,broken clouds,20.5169,-13.0499,Oumou Elghoura
155,Agadez,NE,54.81,clear sky,19.75,10.25,
163,Barroquinha,BR,72.95,overcast clouds,-3.0189,-41.1361,Pousada barroquinha
168,Yola,NG,67.35,clear sky,9.2,12.4833,Muna Hotel
170,Jaguarari,BR,71.04,broken clouds,-10.2639,-40.1958,Hotel Quintal De Casa
173,Surt,LY,53.85,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
175,Lodja,CD,69.33,overcast clouds,-3.4833,23.4333,
176,Victoria Falls,ZW,65.91,overcast clouds,-17.9235,25.843,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
178,Saint George,US,63.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
179,Tocache,PE,70.47,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
181,Inirida,CO,74.79,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
184,Arrifes,PT,58.23,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
186,Kidal,ML,63.1,broken clouds,18.4411,1.4078,
187,Westport,US,50.92,clear sky,41.1415,-73.3579,The Westport Inn
189,Trelew,AR,62.37,broken clouds,-43.249,-65.3051,Hotel Touring Club
197,Viedma,AR,58.51,clear sky,-40.8135,-62.9967,Hotel Cristal
199,Dolores,AR,54.81,moderate rain,-36.3132,-57.6792,Apart Hotel - Arianos
200,Naples,IT,51.75,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
201,Botshabelo,ZA,58.37,clear sky,-29.2702,26.7052,Botshabelo-L
203,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
206,Simplicio Mendes,BR,70.3,overcast clouds,-7.8539,-41.9103,Fidalgo
209,Kisangani,CD,71.38,overcast clouds,0.5167,25.2,Grand Ramela Hotel
210,Ginir,ET,55.06,broken clouds,7.1333,40.7,Sura Dare Village
212,Mbanza-Ngungu,CD,65.61,light rain,-5.25,14.8667,Hotel Full Business
213,Santiago Del Estero,AR,64.98,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
214,Banapur,IN,74.84,overcast clouds,19.7833,85.1833,Uttarayani market
215,Castro,BR,58.15,clear sky,-24.7911,-50.0119,CHACARA BAILLY
216,Rawson,AR,62.15,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
