City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mount Darwin,ZW,-16.7725,31.5838,62.49,97,83,1.36,broken clouds
79,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,79,93,3.96,overcast clouds
80,Victoria,HK,22.2855,114.1577,73.94,82,13,5.99,few clouds
81,San Joaquin,US,37.9333,-121.3011,62.01,63,0,0.0,clear sky
82,Spring Hill,US,28.4769,-82.5255,62.42,81,23,4.16,few clouds
83,Mlandizi,TZ,-6.7,38.7333,74.68,92,96,2.95,overcast clouds
84,Lake City,US,30.1897,-82.6393,55.15,81,0,0.0,clear sky
85,Tres Lagoas,BR,-20.7511,-51.6783,71.71,90,0,5.59,clear sky
86,Iqaluit,CA,63.7506,-68.5145,-15.07,70,20,5.75,few clouds
87,Santa Cruz,BO,-17.8,-63.1667,78.26,89,75,6.91,broken clouds
88,Abha,SA,18.2164,42.5053,51.62,93,0,0.0,clear sky
89,Puerto Leguizamo,CO,-0.1934,-74.7819,73.2,95,97,0.31,overcast clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,84,100,0.94,overcast clouds
91,Turayf,SA,31.6725,38.6637,35.85,93,0,6.91,clear sky
92,Voznesenskoye,RU,54.89,42.7569,13.84,98,76,5.84,snow
93,Moussoro,TD,13.6408,16.4901,60.96,20,2,12.97,clear sky
94,Rio Gallegos,AR,-51.6226,-69.2181,62.65,59,75,24.16,broken clouds
95,Kirkwood,US,38.5834,-90.4068,34.95,74,20,18.41,few clouds
96,Umm Kaddadah,SD,13.6017,26.6876,52.79,25,7,14.99,clear sky
97,Busselton,AU,-33.65,115.3333,71.1,64,58,15.03,broken clouds
98,Samfya,ZM,-11.3649,29.5565,63.55,94,100,5.44,light rain
99,Taltal,CL,-25.4,-70.4833,67.96,79,0,2.21,clear sky
100,Opuwo,NA,-18.0607,13.84,66.9,92,99,3.11,overcast clouds
101,Taft,IR,31.7471,54.2088,42.75,49,40,6.91,scattered clouds
102,Mandal,IN,25.45,74.5667,62.17,33,2,3.15,clear sky
103,Dalvik,IS,65.9702,-18.5286,19.33,92,100,7.49,overcast clouds
104,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,72.16,92,4,4.12,clear sky
105,Roald,NO,62.5833,6.1333,41.14,81,100,18.41,light rain
106,Coruripe,BR,-10.1256,-36.1756,79.32,80,73,11.27,broken clouds
107,Bambous Virieux,MU,-20.3428,57.7575,82.22,75,71,5.17,broken clouds
108,Souillac,MU,-20.5167,57.5167,82.36,77,53,4.72,broken clouds
109,Bengkulu,ID,-3.8004,102.2655,83.44,62,100,4.03,overcast clouds
110,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,3.44,broken clouds
111,Lasa,IT,46.6166,10.7002,30.61,38,4,1.83,clear sky
112,Hithadhoo,MV,-0.6,73.0833,81.18,70,96,8.57,overcast clouds
113,Mahebourg,MU,-20.4081,57.7,82.26,76,68,5.14,broken clouds
114,Touros,BR,-5.1989,-35.4608,79.7,81,89,9.64,overcast clouds
115,Bosaso,SO,11.2842,49.1816,73.51,64,43,5.75,scattered clouds
116,Longavi,CL,-35.9667,-71.6833,60.75,31,0,5.88,clear sky
117,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.64,94,100,7.54,overcast clouds
118,Lebu,CL,-37.6167,-73.65,56.79,83,0,15.9,clear sky
119,Thetford Mines,CA,46.0913,-71.3013,41.29,78,100,14.61,overcast clouds
120,Maniitsoq,GL,65.4167,-52.9,30.13,85,100,18.86,light snow
121,Gat,IL,31.61,34.7642,49.41,78,0,3.53,clear sky
